effect,effect_label,flip_label,K,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base,p_exit_given_funded_base_ci_low,p_exit_given_funded_base_ci_high,p_exit_unconditional_ci_low,p_exit_unconditional_ci_high,mean_rank_delta_ci_low,mean_rank_delta_ci_high
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,3840.0,8.0,3.0,4.0,40.0,-0.042994791666666664,0.0,2.1283854166666667,0.0,12.037545787545788,0.284375,0.13098958333333333,0.06953125,0.39732142857142855,0.3414558347931546,0.46827395313172115,0.053125,0.08697916666666666,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,3840.0,8.0,3.0,4.0,40.0,-0.042994791666666664,0.0,2.1283854166666667,0.0,12.037545787545788,0.284375,0.13098958333333333,0.07473958333333333,0.3736979166666667,0.32560312453643336,0.43668004796867105,0.05936848958333333,0.09348958333333333,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,3840.0,8.0,3.0,4.0,40.0,-0.042994791666666664,0.0,2.1283854166666667,0.0,12.037545787545788,0.284375,0.13098958333333333,0.08072916666666667,0.3587962962962963,0.3123418146317652,0.4176468289396923,0.06535807291666668,0.09871093749999998,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,3840.0,8.0,3.0,4.0,40.0,-0.042994791666666664,0.0,2.1283854166666667,0.0,12.037545787545788,0.284375,0.13098958333333333,0.08828125,0.353125,0.3085905997983871,0.40988105306724726,0.07212890625,0.10729817708333332,1.7897786458333333,2.5133463541666665
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,4,3840.0,8.0,3.0,4.0,40.0,-0.168984375,-0.10000000000000009,7.901822916666666,3.0,15.466470876162505,0.53203125,0.0359375,0.07239583333333334,0.7239583333333334,0.6512275707061248,0.8120071672354949,0.04920572916666666,0.09635416666666667,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,5,3840.0,8.0,3.0,4.0,40.0,-0.168984375,-0.10000000000000009,7.901822916666666,3.0,15.466470876162505,0.53203125,0.0359375,0.0859375,0.6875,0.618081540872562,0.7692359249329759,0.06145833333333333,0.11197916666666667,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,6,3840.0,8.0,3.0,4.0,40.0,-0.168984375,-0.10000000000000009,7.901822916666666,3.0,15.466470876162505,0.53203125,0.0359375,0.10130208333333333,0.6753472222222222,0.598016396877783,0.7577074718948364,0.07395833333333333,0.13151692708333332,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,7,3840.0,8.0,3.0,4.0,40.0,-0.168984375,-0.10000000000000009,7.901822916666666,3.0,15.466470876162505,0.53203125,0.0359375,0.11692708333333333,0.6681547619047619,0.5870488028355798,0.7495690068396921,0.08723307291666667,0.14817708333333332,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,8,3840.0,8.0,3.0,4.0,40.0,-0.168984375,-0.10000000000000009,7.901822916666666,3.0,15.466470876162505,0.53203125,0.0359375,0.13098958333333333,0.6549479166666666,0.5738937940082861,0.7370103459369761,0.09921223958333333,0.16484375,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,9,3840.0,8.0,3.0,4.0,40.0,-0.168984375,-0.10000000000000009,7.901822916666666,3.0,15.466470876162505,0.53203125,0.0359375,0.14609375,0.6493055555555556,0.570739532410264,0.7359012288447947,0.11276041666666667,0.1828255208333333,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,10,3840.0,8.0,3.0,4.0,40.0,-0.168984375,-0.10000000000000009,7.901822916666666,3.0,15.466470876162505,0.53203125,0.0359375,0.15963541666666667,0.6385416666666667,0.5621744639376218,0.723147205573034,0.12600911458333333,0.19662109375,7.145742187500001,8.809752604166667
