effect,effect_label,flip_label,K,prompt_template,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,prompt_C,1280.0,8.0,,4.0,40.0,-0.027343749999999993,0.0,1.46171875,0.0,12.2875,0.25,0.15234375,0.08828125,0.353125
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,4,prompt_A,1280.0,8.0,,4.0,40.0,-0.20960937500000001,-0.19999999999999973,9.33203125,5.0,15.922976501305483,0.5984375,0.021875,0.07890625,0.7890625
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,4,prompt_B,1280.0,8.0,,4.0,40.0,-0.12546874999999996,0.0,6.053125,0.0,14.24190800681431,0.45859375,0.05703125,0.0671875,0.671875
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,4,prompt_C,1280.0,8.0,,4.0,40.0,-0.17187499999999997,-0.10000000000000009,8.3203125,3.0,16.00144927536232,0.5390625,0.02890625,0.07109375,0.7109375
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,5,prompt_A,1280.0,8.0,,4.0,40.0,-0.20960937500000001,-0.19999999999999973,9.33203125,5.0,15.922976501305483,0.5984375,0.021875,0.09609375,0.76875
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,5,prompt_B,1280.0,8.0,,4.0,40.0,-0.12546874999999996,0.0,6.053125,0.0,14.24190800681431,0.45859375,0.05703125,0.0765625,0.6125
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,5,prompt_C,1280.0,8.0,,4.0,40.0,-0.17187499999999997,-0.10000000000000009,8.3203125,3.0,16.00144927536232,0.5390625,0.02890625,0.08515625,0.68125
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,6,prompt_A,1280.0,8.0,,4.0,40.0,-0.20960937500000001,-0.19999999999999973,9.33203125,5.0,15.922976501305483,0.5984375,0.021875,0.11640625,0.7760416666666666
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,6,prompt_B,1280.0,8.0,,4.0,40.0,-0.12546874999999996,0.0,6.053125,0.0,14.24190800681431,0.45859375,0.05703125,0.08828125,0.5885416666666666
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,6,prompt_C,1280.0,8.0,,4.0,40.0,-0.17187499999999997,-0.10000000000000009,8.3203125,3.0,16.00144927536232,0.5390625,0.02890625,0.09921875,0.6614583333333334
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,7,prompt_A,1280.0,8.0,,4.0,40.0,-0.20960937500000001,-0.19999999999999973,9.33203125,5.0,15.922976501305483,0.5984375,0.021875,0.134375,0.7678571428571429
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,7,prompt_B,1280.0,8.0,,4.0,40.0,-0.12546874999999996,0.0,6.053125,0.0,14.24190800681431,0.45859375,0.05703125,0.10078125,0.5758928571428571
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,7,prompt_C,1280.0,8.0,,4.0,40.0,-0.17187499999999997,-0.10000000000000009,8.3203125,3.0,16.00144927536232,0.5390625,0.02890625,0.115625,0.6607142857142857
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,8,prompt_A,1280.0,8.0,,4.0,40.0,-0.20960937500000001,-0.19999999999999973,9.33203125,5.0,15.922976501305483,0.5984375,0.021875,0.14921875,0.74609375
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,8,prompt_B,1280.0,8.0,,4.0,40.0,-0.12546874999999996,0.0,6.053125,0.0,14.24190800681431,0.45859375,0.05703125,0.1171875,0.5859375
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,8,prompt_C,1280.0,8.0,,4.0,40.0,-0.17187499999999997,-0.10000000000000009,8.3203125,3.0,16.00144927536232,0.5390625,0.02890625,0.1265625,0.6328125
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,9,prompt_A,1280.0,8.0,,4.0,40.0,-0.20960937500000001,-0.19999999999999973,9.33203125,5.0,15.922976501305483,0.5984375,0.021875,0.1671875,0.7430555555555556
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,9,prompt_B,1280.0,8.0,,4.0,40.0,-0.12546874999999996,0.0,6.053125,0.0,14.24190800681431,0.45859375,0.05703125,0.13203125,0.5868055555555556
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,9,prompt_C,1280.0,8.0,,4.0,40.0,-0.17187499999999997,-0.10000000000000009,8.3203125,3.0,16.00144927536232,0.5390625,0.02890625,0.1390625,0.6180555555555556
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,10,prompt_A,1280.0,8.0,,4.0,40.0,-0.20960937500000001,-0.19999999999999973,9.33203125,5.0,15.922976501305483,0.5984375,0.021875,0.18203125,0.728125
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,10,prompt_B,1280.0,8.0,,4.0,40.0,-0.12546874999999996,0.0,6.053125,0.0,14.24190800681431,0.45859375,0.05703125,0.14296875,0.571875
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,10,prompt_C,1280.0,8.0,,4.0,40.0,-0.17187499999999997,-0.10000000000000009,8.3203125,3.0,16.00144927536232,0.5390625,0.02890625,0.15390625,0.615625
pi_name_group,Name: Female → Male,F_N -> M_N,4,prompt_A,1280.0,8.0,,4.0,40.0,-0.009609374999999995,0.0,0.34453125,0.0,10.417293233082706,0.2078125,0.17578125,0.03125,0.3125
pi_name_group,Name: Female → Male,F_N -> M_N,4,prompt_B,1280.0,8.0,,4.0,40.0,-0.015781250000000004,0.0,0.79296875,0.0,10.325581395348838,0.23515625,0.1609375,0.02890625,0.2890625
pi_name_group,Name: Female → Male,F_N -> M_N,4,prompt_C,1280.0,8.0,,4.0,40.0,-0.027812499999999997,0.0,1.43828125,0.0,11.916149068322982,0.2515625,0.15078125,0.04296875,0.4296875
pi_name_group,Name: Female → Male,F_N -> M_N,5,prompt_A,1280.0,8.0,,4.0,40.0,-0.009609374999999995,0.0,0.34453125,0.0,10.417293233082706,0.2078125,0.17578125,0.03359375,0.26875
pi_name_group,Name: Female → Male,F_N -> M_N,5,prompt_B,1280.0,8.0,,4.0,40.0,-0.015781250000000004,0.0,0.79296875,0.0,10.325581395348838,0.23515625,0.1609375,0.0359375,0.2875
pi_name_group,Name: Female → Male,F_N -> M_N,5,prompt_C,1280.0,8.0,,4.0,40.0,-0.027812499999999997,0.0,1.43828125,0.0,11.916149068322982,0.2515625,0.15078125,0.05078125,0.40625
pi_name_group,Name: Female → Male,F_N -> M_N,6,prompt_A,1280.0,8.0,,4.0,40.0,-0.009609374999999995,0.0,0.34453125,0.0,10.417293233082706,0.2078125,0.17578125,0.04140625,0.2760416666666667
pi_name_group,Name: Female → Male,F_N -> M_N,6,prompt_B,1280.0,8.0,,4.0,40.0,-0.015781250000000004,0.0,0.79296875,0.0,10.325581395348838,0.23515625,0.1609375,0.0390625,0.2604166666666667
pi_name_group,Name: Female → Male,F_N -> M_N,6,prompt_C,1280.0,8.0,,4.0,40.0,-0.027812499999999997,0.0,1.43828125,0.0,11.916149068322982,0.2515625,0.15078125,0.05703125,0.3802083333333333
pi_name_group,Name: Female → Male,F_N -> M_N,7,prompt_A,1280.0,8.0,,4.0,40.0,-0.009609374999999995,0.0,0.34453125,0.0,10.417293233082706,0.2078125,0.17578125,0.0484375,0.2767857142857143
pi_name_group,Name: Female → Male,F_N -> M_N,7,prompt_B,1280.0,8.0,,4.0,40.0,-0.015781250000000004,0.0,0.79296875,0.0,10.325581395348838,0.23515625,0.1609375,0.04296875,0.24553571428571427
pi_name_group,Name: Female → Male,F_N -> M_N,7,prompt_C,1280.0,8.0,,4.0,40.0,-0.027812499999999997,0.0,1.43828125,0.0,11.916149068322982,0.2515625,0.15078125,0.065625,0.375
pi_name_group,Name: Female → Male,F_N -> M_N,8,prompt_A,1280.0,8.0,,4.0,40.0,-0.009609374999999995,0.0,0.34453125,0.0,10.417293233082706,0.2078125,0.17578125,0.0515625,0.2578125
pi_name_group,Name: Female → Male,F_N -> M_N,8,prompt_B,1280.0,8.0,,4.0,40.0,-0.015781250000000004,0.0,0.79296875,0.0,10.325581395348838,0.23515625,0.1609375,0.05,0.25
pi_name_group,Name: Female → Male,F_N -> M_N,8,prompt_C,1280.0,8.0,,4.0,40.0,-0.027812499999999997,0.0,1.43828125,0.0,11.916149068322982,0.2515625,0.15078125,0.0671875,0.3359375
pi_name_group,Name: Female → Male,F_N -> M_N,9,prompt_A,1280.0,8.0,,4.0,40.0,-0.009609374999999995,0.0,0.34453125,0.0,10.417293233082706,0.2078125,0.17578125,0.05625,0.25
pi_name_group,Name: Female → Male,F_N -> M_N,9,prompt_B,1280.0,8.0,,4.0,40.0,-0.015781250000000004,0.0,0.79296875,0.0,10.325581395348838,0.23515625,0.1609375,0.0578125,0.2569444444444444
pi_name_group,Name: Female → Male,F_N -> M_N,9,prompt_C,1280.0,8.0,,4.0,40.0,-0.027812499999999997,0.0,1.43828125,0.0,11.916149068322982,0.2515625,0.15078125,0.0734375,0.3263888888888889
pi_name_group,Name: Female → Male,F_N -> M_N,10,prompt_A,1280.0,8.0,,4.0,40.0,-0.009609374999999995,0.0,0.34453125,0.0,10.417293233082706,0.2078125,0.17578125,0.06328125,0.253125
pi_name_group,Name: Female → Male,F_N -> M_N,10,prompt_B,1280.0,8.0,,4.0,40.0,-0.015781250000000004,0.0,0.79296875,0.0,10.325581395348838,0.23515625,0.1609375,0.06484375,0.259375
pi_name_group,Name: Female → Male,F_N -> M_N,10,prompt_C,1280.0,8.0,,4.0,40.0,-0.027812499999999997,0.0,1.43828125,0.0,11.916149068322982,0.2515625,0.15078125,0.078125,0.3125
