effect,effect_label,flip_label,K,model,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,gpt,120.0,,3.0,1.0,40.0,-0.06833333333333333,0.0,4.125,0.0,12.75,0.3333333333333333,0.03333333333333333,0.11666666666666667,0.4666666666666667
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,kimi,120.0,,3.0,1.0,40.0,-0.08499999999999999,-0.10000000000000009,5.808333333333334,5.0,11.782608695652174,0.575,0.13333333333333333,0.19166666666666668,0.7666666666666667
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,ministral,120.0,,3.0,1.0,40.0,-0.0625,0.0,2.6083333333333334,0.0,20.866666666666667,0.125,0.0,0.125,0.5
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,mistral,120.0,,3.0,1.0,40.0,-0.04083333333333334,0.0,3.816666666666667,0.0,12.196078431372548,0.425,0.15833333333333333,0.15833333333333333,0.6333333333333333
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,phi,120.0,,3.0,1.0,40.0,-0.05416666666666667,0.0,2.325,0.0,19.294117647058822,0.14166666666666666,0.03333333333333333,0.06666666666666667,0.26666666666666666
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,deepseek,480.0,,3.0,4.0,40.0,-0.03958333333333333,0.0,1.3770833333333334,0.0,9.305555555555555,0.45,0.32708333333333334,0.06458333333333334,0.6458333333333334
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,gemma,480.0,,3.0,4.0,40.0,-0.033749999999999995,0.0,1.3375,0.0,15.41304347826087,0.09583333333333334,0.0125,0.025,0.25
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,glm,480.0,,3.0,4.0,40.0,-0.07312500000000001,0.0,3.877083333333333,0.0,11.746606334841628,0.46041666666666664,0.15833333333333333,0.06875,0.6875
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,gpt,480.0,,3.0,4.0,40.0,-0.023333333333333334,0.0,1.21875,0.0,12.72,0.20833333333333334,0.12916666666666668,0.041666666666666664,0.4166666666666667
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,kimi,480.0,,3.0,4.0,40.0,-0.07020833333333333,0.0,4.28125,0.0,11.31578947368421,0.475,0.11875,0.075,0.75
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,ministral,480.0,,3.0,4.0,40.0,-0.042708333333333334,0.0,1.6645833333333333,0.0,19.48780487804878,0.08541666666666667,0.0,0.0375,0.375
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,mistral,480.0,,3.0,4.0,40.0,-0.02354166666666665,0.0,1.5895833333333333,0.0,11.784810126582279,0.32916666666666666,0.21666666666666667,0.035416666666666666,0.3541666666666667
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,phi,480.0,,3.0,4.0,40.0,-0.03770833333333334,0.0,1.68125,0.0,16.0609756097561,0.17083333333333334,0.08541666666666667,0.03125,0.3125
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,deepseek,480.0,,3.0,4.0,40.0,-0.03958333333333333,0.0,1.3770833333333334,0.0,9.305555555555555,0.45,0.32708333333333334,0.07291666666666667,0.5833333333333334
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,gemma,480.0,,3.0,4.0,40.0,-0.033749999999999995,0.0,1.3375,0.0,15.41304347826087,0.09583333333333334,0.0125,0.025,0.2
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,glm,480.0,,3.0,4.0,40.0,-0.07312500000000001,0.0,3.877083333333333,0.0,11.746606334841628,0.46041666666666664,0.15833333333333333,0.08333333333333333,0.6666666666666666
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,gpt,480.0,,3.0,4.0,40.0,-0.023333333333333334,0.0,1.21875,0.0,12.72,0.20833333333333334,0.12916666666666668,0.04791666666666667,0.38333333333333336
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,kimi,480.0,,3.0,4.0,40.0,-0.07020833333333333,0.0,4.28125,0.0,11.31578947368421,0.475,0.11875,0.09375,0.75
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,ministral,480.0,,3.0,4.0,40.0,-0.042708333333333334,0.0,1.6645833333333333,0.0,19.48780487804878,0.08541666666666667,0.0,0.041666666666666664,0.3333333333333333
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,mistral,480.0,,3.0,4.0,40.0,-0.02354166666666665,0.0,1.5895833333333333,0.0,11.784810126582279,0.32916666666666666,0.21666666666666667,0.05,0.4
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,phi,480.0,,3.0,4.0,40.0,-0.03770833333333334,0.0,1.68125,0.0,16.0609756097561,0.17083333333333334,0.08541666666666667,0.03333333333333333,0.26666666666666666
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,deepseek,480.0,,3.0,4.0,40.0,-0.03958333333333333,0.0,1.3770833333333334,0.0,9.305555555555555,0.45,0.32708333333333334,0.075,0.5
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,gemma,480.0,,3.0,4.0,40.0,-0.033749999999999995,0.0,1.3375,0.0,15.41304347826087,0.09583333333333334,0.0125,0.03333333333333333,0.2222222222222222
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,glm,480.0,,3.0,4.0,40.0,-0.07312500000000001,0.0,3.877083333333333,0.0,11.746606334841628,0.46041666666666664,0.15833333333333333,0.09791666666666667,0.6527777777777778
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,gpt,480.0,,3.0,4.0,40.0,-0.023333333333333334,0.0,1.21875,0.0,12.72,0.20833333333333334,0.12916666666666668,0.05,0.3333333333333333
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,kimi,480.0,,3.0,4.0,40.0,-0.07020833333333333,0.0,4.28125,0.0,11.31578947368421,0.475,0.11875,0.11041666666666666,0.7361111111111112
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,ministral,480.0,,3.0,4.0,40.0,-0.042708333333333334,0.0,1.6645833333333333,0.0,19.48780487804878,0.08541666666666667,0.0,0.04375,0.2916666666666667
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,mistral,480.0,,3.0,4.0,40.0,-0.02354166666666665,0.0,1.5895833333333333,0.0,11.784810126582279,0.32916666666666666,0.21666666666666667,0.06041666666666667,0.4027777777777778
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,phi,480.0,,3.0,4.0,40.0,-0.03770833333333334,0.0,1.68125,0.0,16.0609756097561,0.17083333333333334,0.08541666666666667,0.041666666666666664,0.2777777777777778
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,deepseek,480.0,,3.0,4.0,40.0,-0.03958333333333333,0.0,1.3770833333333334,0.0,9.305555555555555,0.45,0.32708333333333334,0.07708333333333334,0.44047619047619047
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,gemma,480.0,,3.0,4.0,40.0,-0.033749999999999995,0.0,1.3375,0.0,15.41304347826087,0.09583333333333334,0.0125,0.03958333333333333,0.2261904761904762
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,glm,480.0,,3.0,4.0,40.0,-0.07312500000000001,0.0,3.877083333333333,0.0,11.746606334841628,0.46041666666666664,0.15833333333333333,0.10416666666666667,0.5952380952380952
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,gpt,480.0,,3.0,4.0,40.0,-0.023333333333333334,0.0,1.21875,0.0,12.72,0.20833333333333334,0.12916666666666668,0.052083333333333336,0.2976190476190476
