model_label,term,estimate,se,z_value,p_value,ci_low,ci_high,n_obs,n_texts,n_models,n_prompts,converged,p_value_holm
institution_x_profile,C(pi_inst_tier)[T.TOP_I],0.036250000000000074,0.005647689786574996,6.418553668823876,1.3757510759530633e-10,0.02518073142245838,0.04731926857754177,7680,40,8,3,True,2.476351936715514e-09
institution_x_profile,C(pi_metric_level)[T.LOW_B],-0.17572916666666677,0.005647689786574996,-31.115229998005354,1.49893042198084e-212,-0.18679843524420847,-0.16465989808912507,7680,40,8,3,True,4.047112139348268e-211
institution_x_profile,C(pi_inst_tier)[T.TOP_I]:C(pi_metric_level)[T.LOW_B],0.013489583333333282,0.007987039492250362,1.6889340970984195,0.09123206009777238,-0.0021647264145765056,0.029143893081243072,7680,40,8,3,True,0.6354078664941447
institution_x_profile,Group Var,0.024960259079935813,,,,,,7680,40,8,3,True,
institution_x_profile,model Var,0.44844298978439245,0.03899524920403252,11.499939067911347,1.3200858596185478e-30,0.37201370577632453,0.5248722737924604,7680,40,8,3,True,3.03619747712266e-29
institution_x_profile,prompt Var,0.14577031987330294,0.023204167865752853,6.28207487192187,3.340838712094447e-10,0.10029098656520569,0.1912496531814002,7680,40,8,3,True,5.383657470437633e-09
full_two_way_model,Intercept,-0.0263671874999989,0.011182143560055731,-2.3579725442075694,0.01837505194029446,-0.04828378614766464,-0.004450588852333164,7680,40,8,3,True,0.14700041552235568
full_two_way_model,C(pi_name_group)[T.M_N],-0.02059895833333343,0.006907154101257072,-2.982264190339189,0.0028612497309526658,-0.034136731607465415,-0.007061185059201445,7680,40,8,3,True,0.025751247578573992
full_two_way_model,C(pi_metric_level)[T.LOW_B],-0.1771614583333335,0.006907154101257076,-25.64898013511683,4.340276312306707e-145,-0.1906992316074655,-0.1636236850592015,7680,40,8,3,True,1.0850690780766768e-143
full_two_way_model,C(pi_inst_tier)[T.TOP_I],0.034817708333333475,0.006907154101257076,5.040818233228181,4.6354559301283233e-07,0.02127993505920148,0.04835548160746547,7680,40,8,3,True,6.02609270916682e-06
full_two_way_model,C(pi_name_group)[T.M_N]:C(pi_metric_level)[T.LOW_B],0.0028645833333335773,0.007975694559390003,0.3591641219460975,0.7194723148883723,-0.012767490754762884,0.018496657421430036,7680,40,8,3,True,1.0
full_two_way_model,C(pi_name_group)[T.M_N]:C(pi_inst_tier)[T.TOP_I],0.0028645833333332837,0.007975694559390005,0.35916412194606057,0.7194723148883999,-0.01276749075476318,0.01849665742142975,7680,40,8,3,True,1.0
full_two_way_model,C(pi_inst_tier)[T.TOP_I]:C(pi_metric_level)[T.LOW_B],0.013489583333333216,0.007975694559390005,1.6913365015278272,0.0907725523563064,-0.002142490754763247,0.029121657421429678,7680,40,8,3,True,0.6354078664941447
full_two_way_model,Group Var,0.02222074494715051,,,,,,7680,40,8,3,True,
full_two_way_model,model Var,0.45162167723418745,0.03937948859869218,11.468449522962725,1.9003360452374475e-30,0.3744392978511451,0.5288040566172298,7680,40,8,3,True,4.1807392995223846e-29
full_two_way_model,prompt Var,0.1460249539810997,0.02321400423447327,6.290381982624508,3.166857335551549e-10,0.10052634174457177,0.19152356621762762,7680,40,8,3,True,5.383657470437633e-09
